epoch,imp_-10..-5,imp_-5..0,imp_0..5,imp_5..15,imp_<-10,imp_>15,sil_supp_db,train,val,val_keep,val_mr,val_res_sil,val_res_sp,val_snr,val_spec
1,0.252077044324672,0.22057848796248436,0.20998535477198088,0.13395324759527083,0.23508017151444047,-53.78853042920431,-0.5713336926316056,-0.4131012200564146,2.301422420889139,0.009469602392831197,0.2680005682632327,0.5128082856535912,0.24847138610978922,1.6227132957428694,0.4994471501559019
2,0.9915569031492193,0.8642084000303465,0.8105051316894017,0.5341532427236575,0.9605887885446902,-56.27730646587553,-2.330912672550366,-1.9344772657752036,2.1669334384302297,0.019922335147081565,0.2524780270953973,0.4843172626569867,0.22659464397778115,1.098471119844665,0.4763045484821002
3,2.5716877047051776,2.327065451180234,2.043708700400132,1.215865927005033,2.626928649566792,-60.033815826688496,-5.420824105701446,-2.2363739685714243,1.7467206406096618,0.03852946567349136,0.22281830788900456,0.4306244933977723,0.18643625235805908,-0.2161631758014361,0.4303140826523304
4,4.721917735769393,4.350195656804478,3.5734426035330844,1.3152630001033119,4.935732088707112,-64.05002406665257,-10.400372716521506,-2.4333801314234735,1.1537772299100955,0.07254188383618991,0.1806694824869434,0.3444602834060788,0.1257254130517443,-1.8418448143832695,0.36372533937295276
5,6.835818806861309,5.942035219248603,4.017775297164917,-0.4476854823051243,7.320582341264795,-67.9907761641911,-17.559286511071015,-2.4659586748480797,0.8377493303269148,0.123079982586205,0.1497848927974701,0.24985981453210115,0.06802066563007732,-2.443009932835897,0.3091809954494238
6,6.877283899073905,4.190941822879455,0.9534224707346696,-4.164171903505238,8.235243441881957,-71.52149918533507,-28.152588504449643,-2.446036339700222,0.8030620024849972,0.22445081050197283,0.14696653839200735,0.12161869555711746,0.014538497819254795,-2.1923127795259156,0.2773595601320267
7,2.961176642712126,1.9606060210396261,0.32927282784993833,-2.661224137752428,2.2547014598493225,-68.43134058089484,-36.41577248645905,-2.4034644766151905,0.6164008267223835,0.33384513420363265,0.1846826964368423,0.03225147452182379,0.002141076940461062,-3.369018326203028,0.296810707077384
8,6.070339971400322,5.003903340329142,3.9226621309152017,1.7017549046682656,3.2853540667781123,-63.13723070280893,-40.303147545176316,-2.3648498149216177,-0.16074772675832114,0.3013779337828358,0.16668967297300696,0.00956307363594533,0.004802281953743659,-5.723376418153445,0.2736515461777647
9,9.204542357870872,8.072428215952481,6.672136116486329,4.436852800736734,8.684942998267987,-58.835006827399845,-41.98225529449133,-2.2880102410912513,-0.8973897832135359,0.23725099209696054,0.13552950493370494,0.004456626172895994,0.009623549771883214,-7.693091571331024,0.24281004288544258
10,11.185568650986285,9.871575751725365,8.155877177531902,5.985175907065015,12.147245669806445,-55.444413253239226,-41.945779419092005,-2.2897958511114123,-1.4092460063596566,0.184681070347627,0.11158861918374896,0.0035588020115634813,0.014667770941741765,-8.999590237935385,0.2209625973676642
11,12.300373138265407,10.75441861152649,8.855099613849934,6.73702528717321,13.64710944670218,-53.11575169790359,-39.70847242605067,-2.2676909911632537,-1.7120121729870637,0.149188998931398,0.09631085597599547,0.0037428706333836694,0.01900040585314855,-9.734315554300943,0.20819046845038733
12,12.974088438013768,11.237840484170352,9.227521492884708,7.060665935551355,14.596019824345907,-51.54584348769415,-37.661426421891264,-2.181810886412859,-1.891405566285054,0.12497824725384514,0.08653840484718482,0.004272486233579305,0.022643327227948856,-10.142407953739166,0.20073532219976187
13,13.372847881722958,11.55056228357203,9.42314415711623,7.208836581728874,15.043271517312085,-50.35447817757016,-36.40493656136547,-2.1244476106762886,-1.995510997871558,0.11091481987386942,0.08109769395863016,0.004549919910156556,0.02504131644188116,-10.383594900369644,0.19692805409431458
14,13.62513784398424,11.726042908780714,9.538893470397362,7.288317457251592,15.339090139777571,-49.55271164576212,-35.4018397336675,-2.1639108031988146,-2.0613943549493947,0.10084576687465112,0.07775632555906971,0.0049796898480659975,0.027377451692397397,-10.532977223396301,0.19505071267485619
15,13.78025232477391,11.84272776631748,9.62209508052239,7.336551338160803,15.521799738760349,-48.84729342233567,-34.09583559484869,-2.1521407836675643,-2.1054750184218087,0.09315996368726094,0.07556511531583965,0.005529454552743118,0.029497218706334632,-10.630817701419195,0.1941337219129006
16,13.891126602254015,11.926941114313463,9.678151414944576,7.369968199948652,15.67446388580181,-48.41311191377186,-33.47030851532764,-2.1406963014602662,-2.1340435768167176,0.08861804000722866,0.0742138959467411,0.005829654693419191,0.0307317798724398,-10.700020770231882,0.19362480534861484
17,13.97226801324398,11.989768420948701,9.7147718667984,7.397902991793571,15.79245075473079,-48.01164356867472,-33.252686534569754,-2.182149693667889,-2.156437320013841,0.08462041305998962,0.0730388422186176,0.006297570998867741,0.031731901418728135,-10.753710071245829,0.19312413347264132
18,14.030116710257023,12.034060639493605,9.745159928615276,7.415799950240949,15.880743874443901,-47.68103631337484,-33.6012558818108,-2.1605866226553916,-2.1717740843693414,0.08244845053801934,0.07231194145667057,0.006365601662158345,0.03219661151524633,-10.793118407328924,0.19269090425223112
19,14.07809377731161,12.072421094950508,9.777739809109615,7.439527629712306,15.938156931488603,-47.35048287255423,-32.96449553570703,-2.2121650889515876,-2.183214619755745,0.08061454794369638,0.07183541543781757,0.006599056644821151,0.03274442251616468,-10.825961669286093,0.19252978141109148
20,14.114076599161676,12.094517658738528,9.79780415388254,7.45713105770426,15.993783838219112,-47.01923368090675,-32.64604295854895,-2.2179866887629034,-2.1934801737467446,0.0789365863117079,0.07131079778385659,0.006698739906520738,0.03319021046627313,-10.85288135210673,0.19229255570098758
21,14.146634162740504,12.116893046042499,9.816614471949064,7.472564377915969,16.032950498439646,-46.77405598050072,-32.41578654348536,-2.229467429369688,-2.2008718103170395,0.07765189302153885,0.07102308259345591,0.006815270407969365,0.03361433693983903,-10.874606629212698,0.1922754164164265
22,14.173389044213803,12.132002311594347,9.838854633844816,7.491426673504191,16.06340703699324,-46.57128599711827,-32.43817481336776,-2.2176018616557123,-2.206834358473619,0.07730439701117575,0.07091825098420183,0.006631156807998195,0.033685615325036146,-10.89442969361941,0.19220240026091537
23,14.209481548755727,12.150241557289572,9.85461465212015,7.50968085735216,16.113125057132155,-46.36937257221767,-32.43495643334248,-2.2435631862282754,-2.2145472317934036,0.0769344693981111,0.07058008705886702,0.006513055016209061,0.03355803080679228,-10.919969817002615,0.19186155994733176
24,14.237074699807675,12.169721883886,9.863762919719402,7.524613524795672,16.164004937366204,-46.15561249142601,-32.45342909901322,-2.22929181098938,-2.221110818286737,0.07679336254174511,0.07045425117636721,0.006255530816512571,0.03351606758466611,-10.941872656345367,0.19170953302333751
25,14.25982858272309,12.189166475744809,9.875547491587126,7.54167929045651,16.189455518016107,-45.98929650442941,-32.61624026808748,-2.22256293118,-2.2265426913897195,0.07662965489240985,0.0703898121137172,0.00598384085969883,0.03355545383722832,-10.95919539531072,0.19166579625258842
26,14.284948866418068,12.212581073536592,9.883019419816824,7.553758730582141,16.22347366368329,-45.751055967240106,-32.86945741771779,-2.243382177054882,-2.2331562216083207,0.07595472092119356,0.07016752186852197,0.0058459568305503735,0.033716974003861346,-10.977919707695643,0.19156968407332897
27,14.30649062927733,12.231573651818668,9.896184105139513,7.566976227891555,16.25331014615518,-45.571336950574604,-33.39785324665246,-2.2604406240582464,-2.237488776445389,0.07638476214682062,0.07003497759190698,0.0056244566330860835,0.033335398378161095,-10.995627989371618,0.19123198930174112
28,14.326512651240572,12.251842919517966,9.910544716394865,7.577482420370119,16.27566158329999,-45.38533812477475,-33.66190085182183,-2.280293554663658,-2.2421766767899194,0.07611823221668601,0.06985586625523865,0.005496688623679802,0.03325921626916776,-11.010017504294714,0.19100926350802183
29,14.348551562491883,12.265618899289299,9.922679103337801,7.589300361248331,16.301141482812387,-45.28893534342448,-33.61655323135459,-2.2232919792830943,-2.246598668396473,0.07570918595107894,0.06959642446599901,0.005451320527451268,0.03320930370440086,-11.023722430070242,0.19083814353992543
30,14.362809500795729,12.281201138215906,9.934985298376818,7.6040268775519975,16.31538369479003,-45.16590899512882,-34.176353113026614,-2.2556322689354418,-2.2494547242919603,0.07511425158008933,0.06947205984033644,0.005530176093088812,0.0334772423763449,-11.034315864245096,0.19087241683155298
31,14.37978381298958,12.292490370133343,9.942942628493675,7.616117735521509,16.33761763131177,-45.08890158789499,-34.455727023394736,-2.290424174815416,-2.253115904827913,0.07474130275659263,0.06944089328559737,0.005410144385677995,0.033689156523905694,-11.046008497476578,0.1910029180968801
