epoch,imp_-10..-5,imp_-5..0,imp_0..5,imp_5..15,imp_<-10,imp_>15,sil_supp_db,train,val,val_keep,val_mr,val_res_sil,val_res_sp,val_snr,val_spec
1,0.42854418906759706,0.33794501708710895,0.2872689306162871,0.1329038340017336,0.435539859312552,-54.40507695788429,-0.7605384961369426,-0.843852368593216,2.1790564879775047,0.009816676155120755,0.2585682915523648,0.51352866421549,0.23982379026710987,1.2256980283806722,0.4858019258826971
2,1.6298757740791807,1.3297358799506636,1.1935028840716069,0.6333594672176817,1.6342849267853632,-57.80755903607323,-2.523620183887028,-2.281857085466385,1.9494872589906056,0.017783638361531,0.24251960683614016,0.4867704685546528,0.2189654684625566,0.39058159850537777,0.4626902745415767
3,3.8112561512500682,3.5412836180013767,3.0676184617556057,0.8937956171298246,3.791875477190371,-64.51818055198306,-7.617190810586076,-2.602796506881714,1.3202942789842684,0.05416436702944338,0.20719463222970566,0.4119283155048379,0.16381270252168179,-1.6329530777099233,0.4069891882439454
4,7.764493790078671,4.803033464971711,1.3773678724582379,-4.890386426120723,9.887151698271433,-73.78829616592044,-19.536530453746003,-2.7438739025592804,0.7282478561004003,0.17891673961033425,0.15939177355418602,0.2316785205640978,0.04921503380561868,-3.1096473038196564,0.3171460262189309
5,7.176564193786459,3.332259556388154,0.07341693112483391,-5.753830325712851,11.4455208601775,-74.07011107036045,-32.95085031787742,-2.8387765469551085,1.0221629006167252,0.38681863496700924,0.21564387530088425,0.06229726403595729,0.002132905390074787,-2.866873636841774,0.3463199312488238
6,9.00914517362067,6.605223295443198,4.283405001346882,-0.5428091495408924,11.540838919304035,-67.52131776582627,-41.58272825071631,-2.8698695023059844,0.04851792752742767,0.32166219254334766,0.17419249036659798,0.013778825924949464,0.004797884248546325,-5.26654078066349,0.2985763444254796
7,12.206748297873963,9.607688616303836,7.426608690848718,3.4676948424873,14.591165988533586,-61.63606003352574,-44.23628029364944,-2.858313818216324,-1.2249991036951542,0.18556812716027102,0.11085247403631608,0.007435031243858248,0.015430961269885302,-8.36689700682958,0.23556815863897404
8,13.672462717015692,11.1653572881923,9.095537910094627,5.824020153885588,16.472432882697493,-55.71221859114511,-44.53326553324585,-2.810854446411133,-1.957180142402649,0.10917398209373157,0.08107704382079343,0.0094387723008064,0.026826721732504666,-10.300130426883698,0.20832070180525383
9,14.355783985016194,11.915090715183931,9.80660358759073,6.7647935709822065,17.256994432873196,-51.029640436172485,-43.785218207432955,-2.8056655776500703,-2.2642802074551582,0.07765097892843187,0.07127023069187999,0.009621707453031073,0.03471607365645468,-11.141392866770426,0.19997419447948536
10,14.694842039270604,12.257937277064604,10.119215855231651,7.09683413899273,17.612943843558984,-48.478996288208734,-43.6794099044871,-2.767619501590729,-2.377520851790905,0.06483613140881062,0.06852300985095401,0.009873245311609935,0.03950407557810346,-11.45756858587265,0.19846617927153906
11,14.899870050714371,12.44917483890758,10.293334951767555,7.251583191232943,17.832815620634292,-47.08773518743969,-43.896888771105324,-2.74770286822319,-2.4407142773270607,0.058825637213885784,0.06740995550838609,0.008895726496575662,0.04206791097143044,-11.638109167416891,0.1982083764548103
12,15.033254298758,12.5671667211196,10.406823699290936,7.340329170227051,17.96512336201138,-46.26629939533415,-43.43526370597043,-2.732110635995865,-2.478854594131311,0.0554029803412656,0.0667361361750712,0.008310639019024771,0.04353657298876593,-11.75073899825414,0.1981356538211306
13,15.127885585135601,12.638870141085457,10.484928415371822,7.396388132637794,18.054718869703787,-45.65320858501253,-40.65488368306387,-2.6207870230674746,-2.5027767519156137,0.053909733736266695,0.06618775489429633,0.007909001177570948,0.043896173553851746,-11.826546490192413,0.19786181207746267
14,15.194387319240164,12.689574269687428,10.536706163333012,7.4323973524461096,18.120817184448242,-45.16826108523777,-37.47473961950214,-2.652467274904251,-2.518209680914879,0.053151828392098345,0.06572679538900654,0.007811347843926342,0.04386804741807282,-11.878785888353983,0.19735048866520324
15,15.251821599108107,12.732503007440005,10.581861266723045,7.459237094319195,18.19318272890868,-44.82293747720264,-39.44988993988865,-2.5279990470409395,-2.5330915674567223,0.05246869994637867,0.06525061038943629,0.0073422260882883466,0.04375640535727143,-11.923889577388763,0.19686121276269355
16,15.289267570414442,12.759864835178151,10.612407198319069,7.479354880271702,18.24494559676559,-44.55287160192217,-41.05290008095344,-2.551968477487564,-2.5425852661331496,0.0524234261829406,0.06493654653119545,0.006862392363548982,0.04347102150010566,-11.954143484433493,0.19640442449599504
17,15.317301516837261,12.78384786493638,10.643011909264784,7.505041266800067,18.285460498597885,-44.25067389579046,-44.560866006609665,-2.5365830886363985,-2.553833710650603,0.05244358357352515,0.0645954607365032,0.005668451076492905,0.04312218457926065,-11.98007176319758,0.19590256890902916
18,15.350462690312812,12.815104933346019,10.66809174647698,7.5237865010532765,18.329583468260587,-44.04843445051284,-44.766497790070744,-2.539422016620636,-2.562617063522339,0.05193535036717852,0.06431702594272792,0.005359734388093784,0.04314894275739789,-12.005521257718405,0.19564395242681107
19,15.372499876833977,12.84458363757414,10.690805627749516,7.545216149146404,18.352885608319884,-43.844024374371486,-44.75750027906368,-2.5394477882385256,-2.5683475583791733,0.051103587805603944,0.06413719337433577,0.005418318512208013,0.04346323090915879,-12.023314277331034,0.19571878730008999
20,15.397059521776564,12.87778468693004,10.716210631223825,7.5738350666991066,18.37761939013446,-43.69664729209173,-44.75682115789513,-2.537357085943222,-2.5740818281968436,0.050688819804539285,0.06389098412667711,0.00550114945902654,0.04343798795404533,-12.044116814931234,0.1955361757427454
21,15.420058549718654,12.899726699380313,10.740667132230906,7.597650877926328,18.40661006503635,-43.574673028219316,-44.38632084628629,-2.5259120531082155,-2.580926631887754,0.05067167989909649,0.0636683173943311,0.005057900513444717,0.0432251466360564,-12.063842515150705,0.19525513083984455
22,15.442766138847839,12.921199518091539,10.75869596004486,7.62139973071737,18.42847028043535,-43.42338962781997,-44.00740958148168,-2.582949338912964,-2.5869559943675995,0.05036607563185195,0.06345916190184653,0.004842758570854737,0.04316371834526459,-12.081648071606955,0.1950940890237689
23,15.458495195875777,12.94025487058303,10.773874383706312,7.635222828716313,18.442844187771833,-43.400022767838976,-44.349395806074334,-2.5665032613277434,-2.5908031910657883,0.05043674958869815,0.06339462916366756,0.004511222534195743,0.04309790174011141,-12.093291501204172,0.19499133341014385
24,15.476681191870506,12.961049402461333,10.797289123901955,7.660361963674562,18.463295459747314,-43.32317821184794,-44.838959397464684,-2.5855032210350037,-2.5959790100653968,0.05014646053314209,0.0632755954284221,0.004355668290979035,0.043154814396984875,-12.109629491964975,0.19495471411695084
25,15.492775840962187,12.97199693848105,10.810539236435524,7.675018914248965,18.481001836282235,-43.24843902814956,-45.02865347511495,-2.555366441011429,-2.599094308912754,0.04981329827569425,0.06319677565867703,0.004394870515852745,0.043287495306382574,-12.121518393357595,0.1949920702415208
26,15.506365715189183,12.98903897229363,10.826486376615671,7.692454079969214,18.491880898122435,-43.193744534537906,-45.282807228794226,-2.5579348928928374,-2.602153134842714,0.049807375917832054,0.06304555813161035,0.004300944873193657,0.043107314578567944,-12.132048765818277,0.19475892931222916
27,15.524748533330065,13.005037307739258,10.840804237585802,7.705457525515775,18.502757408000804,-43.10167863255455,-44.934241034045286,-2.568802086353302,-2.605102837085724,0.04961531050503254,0.06290501340602835,0.004335554116626857,0.04305905483973523,-12.143313467502594,0.1946057848011454
