epoch,train_loss,val_loss,lr,val_spec,val_si_snr,val_wav_l1,val_supp
1,-9.230746030807495,-8.924805504935128,0.0001,0.2887692536626543,-9.579439299447197,0.12910484309707368,0.6413555315562657
2,-9.104235291481018,-10.029149191720146,0.0001,0.2826272504670279,-10.663714000156947,0.1345606063093458,0.6096827728407723
3,-9.337506691614786,-9.117620195661273,0.0001,0.28351139596530367,-9.76236207144601,0.1285038696868079,0.632507826600756
4,-9.238814155260721,-8.77849749156407,0.0001,0.29545512795448303,-9.44699137551444,0.12420057292495455,0.659136950969696
5,-8.855268677075705,-9.640292916979108,0.0001,0.28680747747421265,-10.296139444623675,0.13330022990703583,0.6447673099381583
6,-9.586472352345785,-9.583594594682966,0.0001,0.29182065384728567,-10.246562140328544,0.13664190684046065,0.6466437833649772
7,-9.229219516118368,-9.487001078469413,5e-05,0.2926199053015028,-10.155393327985491,0.1313977369240352,0.6595662491662162
8,-9.554283261299133,-9.336050714765276,5e-05,0.28971733365740093,-9.999989782060895,0.12837334722280502,0.6585821253912789
9,-9.554832537968954,-9.348485810416085,5e-05,0.2925339256014143,-10.016594341823033,0.13509362829583033,0.6565830877849034
10,-9.393527269363403,-9.462028503417969,5e-05,0.28826851504189627,-10.108278274536133,0.12814381399324962,0.6262618090425219
11,-9.81265393892924,-9.389982087271553,5e-05,0.2869290794645037,-10.043591635567802,0.1310417577624321,0.6416312285831997
12,-9.544633825620016,-9.425463948931013,2.5e-05,0.2875342624528067,-10.077688080923897,0.12851482842649734,0.6394194534846714
13,-9.625452359517416,-9.765978404453822,2.5e-05,0.28840160369873047,-10.422263281685966,0.13286269243274415,0.6427620989935738
14,-9.432590246200562,-10.228221757071358,2.5e-05,0.2790716716221401,-10.860903331211635,0.13131446923528398,0.615299961396626
15,-9.362623969713846,-9.764195578438896,2.5e-05,0.2921420804091862,-10.419731276375908,0.13393948120730265,0.6330297674451556
