epoch,train_loss,val_loss,lr,val_spec,val_si_snr,val_wav_l1,val_speech_gain,val_supp
1,-8.951508243878683,-9.156615938459124,3e-05,0.2986360021999904,-10.49715941292899,0.13579071845327104,1.8049999475479126,0.7388402393886021
2,-8.779502113660177,-9.150265284946986,3e-05,0.2988159315926688,-10.491854395185198,0.13569024205207825,1.8049999475479126,0.7406321082796369
3,-8.986451268196106,-9.179060663495745,3e-05,0.2991019529955728,-10.516627584184919,0.1359534114599228,1.8049999475479126,0.7318574275289264
4,-8.850699385007223,-9.181163311004639,3e-05,0.298689923116139,-10.519671440124512,0.13595489731856755,1.8049999475479126,0.7345630952290126
5,-8.44536034266154,-9.160255432128906,3e-05,0.29962203758103506,-10.496853283473424,0.13592822424003057,1.8049999475479126,0.7288950000490461
6,-9.167810916900635,-9.17867408479963,3e-05,0.2980914328779493,-10.526289122445244,0.13537895253726415,1.8049999475479126,0.7543194549424308
7,-8.785384694735209,-9.196306024278913,3e-05,0.2986248220716204,-10.535371235438756,0.1358419507741928,1.8049999475479126,0.735875700201307
8,-9.107172846794128,-9.216403756822858,3e-05,0.2984393835067749,-10.560602188110352,0.13555372187069484,1.8049999475479126,0.7466856752123151
9,-9.091617266337076,-9.24369021824428,3e-05,0.2987007924488613,-10.583049774169922,0.13578315717833384,1.8049999475479126,0.7363471388816833
10,-8.916034380594889,-9.22672006062099,3e-05,0.29853272438049316,-10.568754604884557,0.13564246467181615,1.8049999475479126,0.742117873259953
