epoch,train_loss,val_loss,lr,val_spec,val_si_snr,val_wav_l1,val_speech_gain,val_supp
1,-8.95150911808014,-9.156515325818743,3e-05,0.29863487822668894,-10.497055189950126,0.13579084617750986,1.8049999475479126,0.7388354114123753
2,-8.779502153396606,-9.150151797703334,3e-05,0.2988147905894688,-10.491735867091588,0.1356902356658663,1.8049999475479126,0.740624589579446
3,-8.986454923947653,-9.17911536352975,3e-05,0.29911025507109507,-10.516650472368513,0.1359546823160989,1.8049999475479126,0.7317762630326408
4,-8.850698709487915,-9.181145191192627,3e-05,0.298694908618927,-10.51963656289237,0.1359551272221974,1.8049999475479126,0.734519932951246
5,-8.445353428522745,-9.160222939082555,3e-05,0.2996144805635725,-10.496841294424874,0.13592767076832907,1.8049999475479126,0.7289507133620126
6,-9.16781198978424,-9.178472655160087,3e-05,0.298082206930433,-10.526144027709961,0.13537667053086416,1.8049999475479126,0.7544520241873605
7,-8.78537654876709,-9.19620132446289,3e-05,0.2986174353531429,-10.53530502319336,0.13584006258419581,1.8049999475479126,0.7359685812677655
8,-9.107169508934021,-9.216413361685616,3e-05,0.29843893221446444,-10.56061213357108,0.13555374528680528,1.8049999475479126,0.7466869950294495
9,-9.091611703236898,-9.243673869541713,3e-05,0.29870001333100454,-10.58302252633231,0.13578368297645024,1.8049999475479126,0.7363268647875104
10,-8.9160395860672,-9.226569380078997,3e-05,0.2985236517020634,-10.568620818001884,0.13564173877239227,1.8049999475479126,0.7421701635633197
11,-9.320871710777283,-9.26853322982788,3e-05,0.2987558586256845,-10.606744629996163,0.13585748204163142,1.8049999475479126,0.7338964513369969
12,-9.04625395933787,-9.247067519596644,3e-05,0.2990581052643912,-10.584912845066615,0.13588997721672058,1.8049999475479126,0.7325400284358433
13,-9.127694129943848,-9.252144064222064,3e-05,0.2981870004108974,-10.596958569117955,0.13555076718330383,1.8049999475479126,0.7484242149761745
14,-8.934468944867453,-9.253040177481514,3e-05,0.2979664759976523,-10.600383622305733,0.1353875228336879,1.8049999475479126,0.7540209548813956
15,-8.85810355345408,-9.244884082249232,3e-05,0.29867468561444965,-10.582966123308454,0.13589310433183396,1.8049999475479126,0.733778749193464
16,-8.874125321706137,-9.244452544621058,1.5e-05,0.29882595794541494,-10.579255921500069,0.1361549837248666,1.8049999475479126,0.7267615624836513
17,-9.181667049725851,-9.277279649462018,1.5e-05,0.2986721268721989,-10.61820479801723,0.13579394349030086,1.8049999475479126,0.7395294393811908
18,-9.256635705629984,-9.277863230024066,1.5e-05,0.29883524775505066,-10.619889395577568,0.1356423114027296,1.8049999475479126,0.7414964096886771
19,-8.852852861086527,-9.242063045501709,1.5e-05,0.29844191670417786,-10.582237107413155,0.1358401711497988,1.8049999475479126,0.7384608387947083
20,-8.688243428866068,-9.256908212389265,1.5e-05,0.2989157395703452,-10.595690046037946,0.1358151755162648,1.8049999475479126,0.7347432460103717
21,-8.67623484134674,-9.268158776419503,1.5e-05,0.2991338244506291,-10.606463159833636,0.13578523695468903,1.8049999475479126,0.7333693589482989
22,-9.147229353586832,-9.286321912493024,1.5e-05,0.2988078551633017,-10.628927503313337,0.1355367409331458,1.8049999475479126,0.7427733285086495
23,-9.080454071362814,-9.330493109566826,1.5e-05,0.2987049775464194,-10.672132083347865,0.1356012842484883,1.8049999475479126,0.7410071577344622
24,-9.015982866287231,-9.314944744110107,1.5e-05,0.29925505604062763,-10.65131037575858,0.1359021429504667,1.8049999475479126,0.7291792205401829
25,-8.933550238609314,-9.29439469746181,1.5e-05,0.2980844421046121,-10.638867378234863,0.13552769805703843,1.8049999475479126,0.7479603801454816
26,-9.40596071879069,-9.316749913351876,1.5e-05,0.2982964813709259,-10.660487174987793,0.13559003600052424,1.8049999475479126,0.746027410030365
27,-8.490804632504782,-9.291914122445244,1.5e-05,0.29839302386556354,-10.634189333234515,0.13563860739980424,1.8049999475479126,0.7428805913243975
28,-9.535231351852417,-9.32970244543893,1.5e-05,0.2983377235276358,-10.67220687866211,0.13567299502236502,1.8049999475479126,0.7434294308934893
29,-9.032639781634012,-9.307074274335589,1.5e-05,0.2984549786363329,-10.650112560817174,0.13558619788714818,1.8049999475479126,0.74431483234678
30,-8.771166563034058,-9.320187432425362,1.5e-05,0.2990653003965105,-10.657645498003278,0.13584465427058084,1.8049999475479126,0.7317789367267064
